2019-10-31 22:22:35{"deviceid": "10009bc4f0", "data": {"startup": "on"}}
2019-10-31 22:22:36{"seq":2,"error":0}
2019-10-31 22:23:25{"deviceid": "100090a630", "data": {"startup": "on"}}
2019-10-31 22:23:25{"seq":2,"error":0}
2019-10-31 22:23:28{"deviceid": "10009bc4f0", "data": {"startup": "off"}}
2019-10-31 22:23:28{"seq":3,"error":0}
2019-10-31 22:23:29{"deviceid": "100090a630", "data": {"startup": "off"}}
2019-10-31 22:23:29{"seq":3,"error":0}
2019-10-31 22:23:36{"deviceid": "10009bc4f0", "data": {"startup": "on"}}
2019-10-31 22:23:36{"seq":4,"error":0}
2019-10-31 22:23:38{"deviceid": "100090a630", "data": {"startup": "on"}}
2019-10-31 22:23:38{"seq":4,"error":0}
2019-10-31 22:24:39{"deviceid": "10009bc4f0", "data": {"startup": "off"}}
2019-10-31 22:24:39{"seq":5,"error":0}
2019-10-31 22:24:39{"deviceid": "100090a630", "data": {"startup": "off"}}
2019-10-31 22:24:40{"seq":5,"error":0}
2019-10-31 22:24:47{"deviceid": "10009bc4f0", "data": {"startup": "on"}}
2019-10-31 22:24:48{"seq":6,"error":0}
2019-10-31 22:24:50{"deviceid": "10009bc4f0", "data": {"switch": "on"}}
2019-10-31 22:24:50{"seq":7,"error":0}
2019-10-31 22:24:51{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-10-31 22:24:51{"seq":6,"error":0}
2019-10-31 22:24:52{"deviceid": "10009bc4f0", "data": {"switch": "off"}}
2019-10-31 22:24:52{"seq":8,"error":0}
2019-10-31 22:24:53{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-10-31 22:24:53{"seq":7,"error":0}
2019-10-31 22:25:08{"deviceid": "10009bc4f0", "data": {"switch": "on"}}
2019-10-31 22:25:08{"seq":9,"error":0}
2019-10-31 22:25:12{"deviceid": "10009bc4f0", "data": {"switch": "off"}}
2019-10-31 22:25:12{"seq":10,"error":0}
2019-10-31 22:25:13{"deviceid": "10009bc4f0", "data": {"startup": "off"}}
2019-10-31 22:25:14{"seq":11,"error":0}
2019-10-31 22:28:08{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-10-31 22:28:08{"seq":8,"error":0}
2019-10-31 22:28:09{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-10-31 22:28:09{"seq":9,"error":0}
2019-10-31 22:31:41{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-10-31 22:31:41{"seq":10,"error":0}
2019-10-31 22:31:43{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-10-31 22:31:43{"seq":11,"error":0}
2019-10-31 22:33:09{"deviceid": "10009bc4f0", "data": {}}
2019-10-31 22:39:47{"deviceid": "10009bc4f0", "data": {"ssid": "VM174518-2G", "password": "hgnwyxty"}}
2019-10-31 22:39:47{"seq":12,"error":0}
2019-10-31 22:47:42{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-10-31 22:47:42{"seq":13,"error":0}
2019-10-31 22:47:43{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-10-31 22:47:43{"seq":14,"error":0}
2019-10-31 23:20:11{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-10-31 23:20:11{"seq":5,"error":0}
2019-10-31 23:20:12{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-10-31 23:20:12{"seq":6,"error":0}
2019-10-31 23:25:33{"deviceid": "100090a630", "data": {"switch": "on"}}
2019-10-31 23:25:33{"seq":7,"error":0}
2019-10-31 23:25:34{"deviceid": "100090a630", "data": {"switch": "off"}}
2019-10-31 23:25:34{"seq":8,"error":0}
2019-11-01 00:06:20{"deviceid": "10009bc4f0", "data": {"switch": "on"}}
2019-11-01 00:06:20{"seq":2,"error":0}
2019-11-01 00:06:21{"deviceid": "10009bc4f0", "data": {"switch": "off"}}
2019-11-01 00:06:21{"seq":3,"error":0}
